,,,,,,,
الخير,مخطط/3479,قطعة 337/2,1444/04/21,18567268,600000.00,406.25,1477.00
الخير,مخطط/3481,قطعة 3,1444/04/20,18555655,4089599.00,4260.00,960.00
الخير,مخطط/3483,قطعة 752/2,1444/04/09,18466693,420000.00,403.00,1042.00
الخير,مخطط/3483,قطعة 840/2,1444/04/02,18385140,360000.00,372.00,968.00
الخير,مخطط/3537,قطعة 1355/2,1444/04/02,18380737,410000.00,375.00,1093.00
الخير,مخطط/3537,قطعة 1441/1,1444/04/06,18427762,360000.00,375.00,960.00
الخير,مخطط/3537,قطعة 1441/2,1444/04/06,18427828,360000.00,375.00,960.00
الخير,مخطط/3537,قطعة 1452,1444/04/23,18593883,790000.00,750.00,1053.00
الخير,مخطط/3537,قطعة 2863/1,1444/04/12,18486133,400000.00,375.00,1067.00
الخير,مخطط/3537,قطعة 2863/2,1444/04/12,18486184,400000.00,375.00,1067.00
الخير,مخطط/3537,قطعة 2915,1444/04/22,18582841,200000.00,405.37,493.00
الخير,مخطط/3537,قطعة 3251,1444/04/26,18599689,450000.00,400.00,1125.00
الخير,مخطط/3537,قطعة 426,1444/04/16,18531582,650000.00,750.00,867.00
الخير,مخطط/3537,قطعة 683/2,1444/04/09,18467454,480000.00,375.00,1280.00
الخير,مخطط/3538,قطعة 1852/1,1444/04/02,18395828,520000.00,405.00,1284.00
الخير,مخطط/3538,قطعة 1852/2,1444/04/06,18432567,500000.00,405.00,1235.00
الخير,مخطط/3538,قطعة 1861/1,1444/04/12,18485355,500000.00,405.00,1235.00
الخير,مخطط/3538,قطعة 1861/2,1444/04/12,18485423,500000.00,405.00,1235.00
الخير,مخطط/3538,قطعة 1862,1444/04/23,18593663,1300000.00,822.40,1581.00
الخير,مخطط/3538,قطعة 1863,1444/04/23,18593683,1300000.00,798.23,1629.00
