Neighbourhood,Plannedـtransactionـdetails,Detailsـtransaction,Date,transactionـnumber,Total_price,Area,Price_per_meter
الرمال,مخطط/2491/ ب,قطعة 60,"Thursday, 31 March 2022 ",16623553,15400000.00,"11,000.00","1,400"
الرمال,مخطط/2670/ ب,قطعة 1341,"Monday, 28 March 2022 ",16582531,11000000.00,"6,000.00","1,833"
الرمال,مخطط/2670/ ب,قطعة 1345,"Monday, 28 March 2022 ",16582622,11000000.00,"6,000.00","1,833"
الرمال,مخطط/2670/ ب,قطعة 1437/1,"Sunday, 27 March 2022 ",16561251,1000000.00,301.25,"3,320"
الرمال,مخطط/2670/ ب,قطعة 1552/6/1,"Thursday, 24 March 2022 ",16539427,1061000.00,787.5,"1,347"
الرمال,مخطط/2880,قطعة 146,"Wednesday, 23 March 2022 ",16516124,10000000.00,"8,572.50","1,167"
الرمال,مخطط/2880,قطعة 178/1,"Wednesday, 9 March 2022 ",16395210,5625000.00,"4,500.00","1,250"
الرمال,مخطط/2880,قطعة 192/2,"Monday, 14 March 2022 ",16432012,3000000.00,"2,500.28","1,200"
الرمال,مخطط/2880,قطعة 192/3,"Monday, 14 March 2022 ",16432687,3000000.00,"2,500.28","1,200"
الرمال,مخطط/2880,قطعة 23,"Monday, 28 March 2022 ",16557852,7875000.00,"7,500.00","1,050"
الرمال,مخطط/3024,قطعة 144/1,"Thursday, 17 March 2022 ",16464399,4004288.00,"2,502.68","1,600"
الرمال,مخطط/3024,قطعة 144/2,"Thursday, 17 March 2022 ",16464482,4004288.00,"2,502.68","1,600"
الرمال,مخطط/3031,قطعة 119,"Thursday, 10 March 2022 ",16404983,3250000.00,"2,500.00","1,300"
الرمال,مخطط/3031,قطعة 29,"Tuesday, 22 March 2022 ",16510258,2500000.00,"2,500.00","1,000"
الرمال,مخطط/3031,قطعة 300,"Tuesday, 29 March 2022 ",16597685,3000000.00,"3,000.00","1,000"
الرمال,مخطط/3031,قطعة 31,"Tuesday, 22 March 2022 ",16506874,2000000.00,"2,504.10",799
الرمال,مخطط/3083,قطعة 1229/1/1,"Sunday, 13 March 2022 ",16423326,1640000.00,414,"3,961"
الرمال,مخطط/3083,قطعة 1235/1/1,"Thursday, 10 March 2022 ",16404193,1900000.00,414,"4,589"
الرمال,مخطط/3083,قطعة 1364/2,"Tuesday, 1 March 2022 ",16314712,1176684.00,492.49,"2,389"
الرمال,مخطط/3083,قطعة 1715/1,"Sunday, 20 March 2022 ",16474428,1420000.00,375,"3,787"
الرمال,مخطط/3083,قطعة 323/4/1,"Tuesday, 22 March 2022 ",16503332,1974620.00,236.74,"8,341"
الرمال,مخطط/3083,قطعة 323/4/1,"Thursday, 24 March 2022 ",16532697,1000000.00,236.74,"4,224"
